Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Luxembourg;LUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1215;5827;15351;36500;70100;98930;128680;143200;156120;168368;169753;
Macao SAR, China;MAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3731;9788;16954;27774;45218;68030;92217;110498;121569;126142;131372;137411;
Macedonia, FYR;MKD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;12436;36485;100507;181012;218651;256943;271773;
Madagascar;MDG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1361;2354;3488;4558;5359;6800;
Malawi;MWI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;69;138;404;;1589;2700;3900;8005;9800;
Malaysia;MYS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;4000;19302;110402;252500;483100;751000;1025000;1318500;1541700;1846500;2147800;
Maldives;MDV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;190;503;717;3260;6274;10350;15359;15331;15148;20378;
Mali;MLI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3085;3200;2661;3009;2314;2367;
Malta;MLT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1656;9157;17679;22736;37642;51409;52948;83033;95327;105213;117112;125500;
Marshall Islands;MHL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;
Mauritania;MRT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;164;973;4000;5876;5900;5593;6066;
Mauritius;MUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;285;1184;2564;5398;27895;22367;46754;68837;79227;116800;
Mexico;MEX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;15000;50000;231486;428371;1057282;1922352;3020000;4468417;7426717;9348845;11325022;12188908;
Micronesia, Fed. Sts.;FSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;6;26;46;95;116;;;998;;
Moldova;MDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;239;418;597;2429;10395;21792;52537;115127;186973;269067;350529;
Monaco;MCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;2658;4904;6535;7606;9500;11000;12300;13000;13400;13800;15676;
Mongolia;MNG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;90;500;900;1800;3500;7395;32504;36742;71709;79320;
Montenegro;MNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7665;;16145;34229;53058;52400;;
Morocco;MAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2000;2712;64660;249138;391857;477360;483867;475767;498682;590718;
Mozambique;MOZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;5743;10191;12502;14633;16270;
Myanmar;MMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;243;3961;6466;9995;20365;22950;29314;
Namibia;NAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;134;198;256;320;430;9640;18499;
Nepal;NPL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;963;10957;12000;15561;58435;94656;
Netherlands;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75500;;260000;466200;1170966;1988000;3206000;4100000;5192200;5507000;5805000;6129000;6329000;6456000;
New Caledonia;NCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;132;700;1668;5146;9600;15601;20315;25455;33115;38196;42767;
New Zealand;NZL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;4658;17267;43500;83000;191695;321000;470200;853020;914961;981000;1089000;1138000;
Nicaragua;NIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;1604;2319;4403;5001;10534;19042;27550;43212;59647;93019;104832;
Niger;NER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;77;212;347;482;617;1000;1500;1795;
Nigeria;NGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;500;;53594;67776;81958;99108;215675;
Northern Mariana Islands;MNP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;
Norway;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;23297;88541;205307;398758;671666;991349;1244536;1435976;1577863;1668806;1723678;1800000;
Oman;OMN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;97;136;668;13240;20065;20177;32447;41114;45449;52562;
Pakistan;PAK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;14600;26611;45153;148470;302829;531787;737778;
Palau;PLW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;74;100;97;101;111;142;239;518;
Panama;PAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7771;12235;15039;16746;17567;112738;150283;196190;233914;255524;282831;
Papua New Guinea;PNG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2987;4453;6100;7500;
Paraguay;PRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;300;500;500;3050;5600;6000;8600;12800;15800;28147;62794;
Peru;PER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;75;1078;;37401;93908;227610;352622;484899;570218;725563;809621;911620;1026000;
Philippines;PHL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;10000;21000;55000;89000;123000;265030;496151;1045716;1722407;1722400;1791000;
Poland;POL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;12000;121684;195752;875865;945159;2911152;4174003;3985385;4798105;4960528;5500000;
Portugal;PRT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;297;25154;99316;260591;502030;838371;1165440;1423687;1512394;1613725;1911826;2126689;2239674;
Puerto Rico;PRI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2427;22732;54337;86303;118268;150233;182198;426310;480293;551520;559521;
Qatar;QAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;228;2991;10915;25609;46773;86959;104235;141315;142941;162108;
Romania;ROU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;15800;196106;104265;377090;1090000;1920000;2490000;2800000;3000000;3300000;
Russian Federation;RUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;11000;343000;675000;1589000;2900000;4900000;9280000;12900000;15700000;17423113;
Rwanda;RWA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1148;1180;1704;2543;1120;2214;2640;3651;
Samoa;WSM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;32;65;98;130;160;200;200;;
San Marino;SMR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;1076;1220;1480;1599;4900;5446;5992;6538;
Sao Tome and Principe;STP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;125;308;;;565;707;
Saudi Arabia;SAU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;14000;34782;45982;68700;67798;218176;623116;1048098;1342838;1496607;1608282;
Senegal;SEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1200;2383;7665;18028;28926;38132;47358;58720;78647;92713;
Serbia;SRB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33486;121727;325730;457181;590586;858219;879126;
Seychelles;SYC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;349;948;2475;2856;2740;3929;6278;7771;
Sierra Leone;SLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;
Singapore;SGP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10000;30000;69000;151000;270000;417100;545200;656200;787900;896200;1023800;1170700;1270600;1323400;
Sint Maarten (Dutch part);SXM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovak Republic;SVK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4083;22461;78764;181538;304615;472020;519883;627722;694414;746727;
Slovenia;SVN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5500;56735;57992;115069;196650;279814;344677;425294;452023;481804;503754;
Solomon Islands;SLB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;200;450;650;1000;1500;2000;2000;2430;
Somalia;SOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;
South Africa;ZAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2669;20313;60000;165290;335112;378000;426000;481000;743000;907000;
South Sudan;SSD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;ESP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;76358;466600;1247496;2121930;3401411;5035203;6739110;7990449;9054204;9706688;10534492;10925764;
Sri Lanka;LKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;327;592;3417;20450;21000;22895;63263;101922;169600;228316;359000;
St. Kitts and Nevis;KNA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;2000;4400;6500;8800;9600;11104;13000;14600;;
St. Lucia;LCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1400;3800;7000;7176;11078;15527;18586;20491;21340;
St. Martin (French part);MAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Vincent and the Grenadines;VCT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;81;1086;1146;1320;3647;5618;7972;9364;11507;12502;14097;
Sudan;SDN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;793;1269;2065;42500;44625;;13500;17430;
Suriname;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;94;216;420;1107;2656;4205;5754;8565;15672;24000;
Swaziland;SWZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;772;1504;1626;2700;
Sweden;SWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;249000;587000;840000;1095000;1410000;2522000;2489000;2775626;2898937;2941648;2987008;2999000;
Switzerland;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;56416;140000;455220;783874;1227397;1669217;2050184;2380500;2556210;2739149;2911504;3019000;
Syrian Arab Republic;SYR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;600;2700;5218;6957;11055;34657;69817;121300;
Tajikistan;TJK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;10;;;;3645;3658;4400;4700;5020;
Tanzania;TZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1495;1795;2154;2585;2841;3150;3500;
Thailand;THA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1613;15000;45000;75000;105000;;913000;;;3188618;3738191;
Timor-Leste;TLS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;9;13;22;29;50;71;471;500;550;
Togo;TGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1201;1911;2693;3759;4800;
Tonga;TON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;11;22;334;645;633;780;721;1000;1100;1300;
Trinidad and Tobago;TTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;176;884;4233;10803;20613;35491;85447;125565;145028;154987;
Tunisia;TUN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;26;259;2839;17573;43845;95916;227303;372818;481810;544392;
Turkey;TUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;10915;21205;199324;577931;1589768;2773685;4753757;5749891;6456359;7079792;7575886;
Turkmenistan;TKM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;465;723;1100;
Turks and Caicos Islands;TCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuvalu;TUV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;50;150;250;270;290;100;240;450;
Uganda;UGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;850;1210;1860;4798;6000;54804;88786;
Ukraine;UKR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;130000;520000;800000;1600000;1906725;2954556;3168344;
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;367;1973;8374;16632;30327;56146;129320;240620;379800;557577;687713;786818;866968;
United Kingdom;GBR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52890;330960;1356481;3113702,33;6123907;9898653;13013000;15606000;17274023;18222000;19130000;20438000;
United States;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;705900;2754286;7069874;12792812;19881549;27744342;37352520;51156350;60237701;70206000;75707000;79055000;85723155;90000000;
Uruguay;URY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;27000;48539;92914;152040;227652;300827;367480;455197;
Uzbekistan;UZB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2757;5514;8271;8639;19180;65960;88735;118000;147760;
Vanuatu;VUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;15;23;59;95;130;200;500;500;;
Venezuela, RB;VEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;4473;;;;;;;;;213067;231661;255664;
Vietnam;VNM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1076;9180;52709;210024;516569;1294111;2048953;3214179;3669321;3838206;
Virgin Islands (U.S.);VIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1484;2967;;5933;7416;9000;9100;;
West Bank and Gaza;PSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;18;7463;27172;55648;;;;;
Yemen, Rep.;YEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1498;2781;11000;26000;54000;84000;109000;
Zambia;ZMB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;31;48;91;250;250;2339;4000;5703;10702;10267;7500;
Zimbabwe;ZWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;771;2847;6386;8967;10185;10200;15210;18000;29130;33000;34000;
